annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG0011	0.088191	0.084272	0.094481	0.095710	0.101467	0.098994	0.095251	0.095921	0.121234	0.118151	0.110240	0.103996	0.085203	0.051970	0.096562	0.142280	0.085623	0.097597	0.082013	0.082117	0.077127	0.057415	0.046852	0.098338	0.094577	0.107581	0.110460	0.111139	0.105936	0.079761	0.057310	0.058838	0.092522	0.109141	0.113333	0.100947	0.096925	0.116771	0.095000	0.100153	0.090334	0.068554	0.071991	0.098367	0.105403	0.084905	0.095690	0.060075	0.113891	0.106163
COG0012	0.765564	0.771715	0.787904	0.763516	0.785523	0.758376	0.783064	0.768889	0.785074	0.780667	0.745924	0.760238	0.795651	0.781603	0.783997	0.790991	0.764123	0.757676	0.780582	0.677859	0.769613	0.812669	0.780058	0.791684	0.794352	0.787762	0.758728	0.718637	0.774883	0.757417	0.774844	0.727100	0.787778	0.783687	0.766917	0.774190	0.796399	0.765127	0.767679	0.751834	0.767892	0.786374	0.809536	0.774211	0.781672	0.703270	0.717328	0.759973	0.781679	0.760634
COG0013	1.952474	2.008543	1.934394	1.942471	1.940042	1.910021	1.906230	1.953747	1.897520	1.925420	1.958006	1.965688	2.013030	2.225876	1.949215	1.904929	1.915612	2.033532	2.150863	2.013041	2.047773	2.047166	2.471970	1.990202	1.965943	1.968567	1.900392	1.972219	1.964606	2.097693	1.920011	2.186336	1.933705	1.933649	1.930015	1.935951	1.947892	1.984017	1.951863	1.932581	1.965391	1.896518	2.007336	1.958647	1.961868	1.943974	1.925119	2.044381	1.912715	1.914332
COG0014	0.743409	0.746268	0.752695	0.742922	0.747279	0.747319	0.747804	0.741362	0.736741	0.742239	0.771554	0.743775	0.771080	0.531840	0.771739	0.758397	0.763466	0.634389	0.663026	0.672299	0.652719	0.527313	0.529945	0.759086	0.787376	0.766109	0.738615	0.734000	0.745785	0.573226	0.520590	0.568800	0.640236	0.770869	0.774367	0.774106	0.780254	0.736837	0.707518	0.708896	0.733659	0.479249	0.474449	0.793813	0.791101	0.696370	0.687525	0.595311	0.778920	0.743726
COG0015	0.951381	0.958561	0.927491	0.945523	0.919330	0.937297	0.923746	0.923338	0.902316	0.956443	0.902012	0.880554	0.939083	0.646620	0.949364	0.948807	0.925969	0.719452	0.725928	0.747073	0.773847	0.663455	0.591591	0.953674	0.934233	0.934640	0.870943	0.819164	0.892190	0.703268	0.710704	0.638324	0.737641	0.938283	0.933886	0.928320	0.933056	0.865424	0.820536	0.851587	0.870402	0.618630	0.660082	0.938791	0.943203	0.798925	0.780515	0.690657	0.936335	0.869988
COG0016	0.825441	0.825905	0.799501	0.819198	0.814679	0.823345	0.799074	0.821272	0.801549	0.803197	0.793209	0.803473	0.829132	0.703118	0.840610	0.810461	0.839912	0.670387	0.713942	0.664081	0.740049	0.653834	0.697923	0.842340	0.863597	0.825479	0.781891	0.758310	0.777136	0.704501	0.698812	0.660858	0.722562	0.812519	0.834953	0.842933	0.830486	0.758632	0.771762	0.777333	0.827940	0.686851	0.694389	0.821124	0.829696	0.765875	0.781528	0.700659	0.848042	0.771854
COG0017	0.357404	0.340783	0.354874	0.347712	0.377577	0.352499	0.343533	0.342666	0.335037	0.364285	0.382874	0.368913	0.352140	0.649671	0.316733	0.343014	0.348062	0.663988	0.771678	0.661200	0.601363	0.666867	0.651890	0.320376	0.292196	0.317556	0.419301	0.474035	0.459216	0.591695	0.603497	0.636463	0.598903	0.325434	0.337916	0.324327	0.308464	0.435012	0.452091	0.485445	0.398863	0.618617	0.612764	0.302730	0.323421	0.516945	0.472652	0.628488	0.313762	0.450393
COG0018	1.013439	1.040821	1.007832	0.982113	0.977849	1.011513	1.004372	0.993601	1.002372	1.003462	1.050888	1.027496	1.010903	1.003615	1.025147	0.993858	1.012557	0.998257	0.946519	1.019409	1.093495	1.050857	1.053308	0.978471	0.992843	1.061598	1.012880	1.012340	1.035565	1.058781	1.038464	1.096417	1.007267	1.078230	1.040327	1.066756	1.058188	1.016497	0.999674	0.990474	1.012158	1.216858	1.195317	1.053231	1.055034	0.968315	1.007200	1.013401	1.040222	0.992963
COG0019	1.383134	1.404930	1.346286	1.335762	1.315151	1.340587	1.345176	1.320932	1.308049	1.338980	1.343371	1.351080	1.350010	1.064065	1.400370	1.403474	1.326945	1.083262	0.969430	0.960244	1.153884	1.016528	1.004298	1.318614	1.348212	1.418989	1.327406	1.271312	1.369243	1.118982	1.105134	0.967971	1.193781	1.461015	1.429479	1.451192	1.422535	1.318194	1.321988	1.238310	1.314312	1.002986	1.034855	1.486599	1.437350	1.208000	1.285009	1.094133	1.410021	1.293035
COG0020	0.582133	0.597866	0.585742	0.574189	0.556561	0.578387	0.564861	0.565062	0.584776	0.566056	0.600381	0.625384	0.605215	0.598723	0.614482	0.608795	0.579026	0.473995	0.477992	0.424928	0.583890	0.587174	0.833672	0.578654	0.611632	0.638155	0.577480	0.572747	0.597923	0.647021	0.650620	0.622236	0.536816	0.679138	0.665764	0.678708	0.673651	0.584633	0.566936	0.531756	0.576382	0.504653	0.497734	0.676731	0.650668	0.505064	0.518914	0.596625	0.666515	0.572542
