annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K06960	23.562792	31.048067	20.538291	22.783914	22.729041	28.756063	32.875966	29.859830	22.070757	27.047508	14.479758	18.397571	30.201295	2.693851	36.603763	33.416408	19.364453	6.897020	5.867081	3.260159	8.413965	4.435622	1.373764	28.947503	30.506534	32.163140	16.890609	15.049064	12.118598	3.731606	3.953539	2.144745	7.208332	28.068553	36.170076	32.980490	27.382167	12.428629	13.442823	11.095202	15.361385	1.333974	0.406498	11.290180	13.399388	2.409990	4.388307	5.908409	24.039995	12.272867
K06961	32.356461	27.787966	39.831248	31.821207	28.121800	29.380541	34.314099	28.879591	25.514469	24.831449	31.692348	25.929389	52.764743	23.430005	23.834896	21.750949	44.401375	34.535619	38.751550	24.907639	31.661090	24.274102	19.952840	34.221823	30.590561	25.329253	24.081143	28.524249	28.207165	22.601262	20.877567	14.689138	38.191940	17.627223	15.450997	21.985295	19.042851	26.409536	24.921119	28.416789	25.125075	24.035106	18.564465	9.996663	10.963166	17.911870	18.194831	23.162386	27.410263	20.582545
K06962	22.984877	18.963159	27.657336	27.170801	24.875931	20.595700	25.397010	17.147281	18.921892	23.535301	11.534576	18.810718	28.365383	2.521306	24.126998	24.705871	20.480638	15.396595	16.349719	5.902527	7.706098	7.005986	2.496658	26.454871	24.836933	26.053327	18.338208	12.343282	14.460927	5.312685	6.550159	5.383441	11.454826	19.053229	19.190826	24.259303	19.880547	13.499187	11.445502	9.415591	13.873331	3.706417	4.491571	28.081173	25.415411	7.637803	10.497718	6.904448	20.992528	13.483286
K06963	11.831766	17.999257	12.816967	13.251372	11.813615	12.747500	9.886670	16.254280	11.176444	10.862380	11.335877	11.495810	23.554609	4.554137	15.508253	10.318533	11.610199	5.746157	5.024142	3.077099	7.249757	2.758521	1.075476	14.580135	16.684666	15.866066	6.474591	10.877006	8.332422	3.028539	3.797330	1.495457	3.612885	15.454711	17.565490	19.997656	16.593810	7.201450	5.650333	6.796054	15.202314	2.455271	1.953994	2.355828	2.161244	4.120269	5.633979	2.774524	15.755115	7.264434
K06965	42.661874	35.852747	40.297621	39.231923	26.396807	30.901754	25.007939	36.574868	31.691017	28.068352	27.218934	22.547130	50.179463	18.213552	27.725260	25.457920	36.161912	23.051848	26.902643	14.211599	20.894435	24.451488	16.237072	37.832283	36.639331	34.549001	20.205806	21.069857	18.372513	17.919331	16.075870	18.876604	28.962734	34.353260	24.353667	33.231213	29.016157	17.300227	14.202094	15.660963	19.096915	22.117557	23.426967	6.993464	10.805084	12.416021	13.646587	18.907091	29.150553	18.499819
K06966	631.456416	689.872212	621.972806	665.771969	612.484186	719.856773	680.666008	688.707016	708.674620	722.245206	378.604515	472.487437	727.940137	51.321506	874.280591	872.741337	559.135640	138.695432	146.613167	85.011544	149.141926	74.517941	34.341800	863.142664	920.046653	877.551735	443.754236	293.351709	399.582638	96.582526	86.052428	66.729386	174.516739	896.124462	822.810294	856.074071	887.485976	356.082823	313.653646	291.350482	436.645207	45.710453	57.058667	789.901429	789.136229	162.259019	196.851114	94.522076	849.325239	360.285141
K06967	7.383586	13.000115	13.080997	11.537631	14.252055	8.056490	13.340637	10.742356	12.197856	14.508050	12.266145	9.028768	11.630859	4.232946	10.416164	14.574589	17.483821	6.672453	19.007361	8.189360	10.054670	4.202585	1.484728	11.556729	12.701810	13.991960	11.863860	14.483526	12.282969	5.477141	6.149609	4.066756	8.613606	10.644037	11.535915	11.399211	9.298286	12.846178	11.448541	10.231854	11.657689	2.701194	2.013936	9.078516	6.943264	6.908586	6.195640	6.151339	11.323090	11.424839
K06968	16.766727	21.071892	22.074285	18.753551	23.112886	20.846388	22.980023	23.899637	17.145531	19.677621	18.261662	16.861389	18.006036	8.321618	19.491444	15.296339	20.595153	21.376746	29.478761	23.090037	21.103933	13.246688	7.692032	20.265117	18.943685	16.905128	24.301304	26.043042	25.637544	11.879086	12.024476	9.768093	14.734565	15.566384	16.907671	17.246480	12.181417	20.973452	19.799441	27.082465	16.476584	4.191005	4.703966	13.085842	10.094121	13.101522	15.224479	10.784595	16.184135	22.022847
K06969	252.456516	251.112539	271.362385	258.044535	230.092244	278.254509	273.681845	238.154151	289.299318	262.013365	167.774533	193.005687	256.865307	26.694473	297.255987	319.518112	203.627389	117.061485	137.066343	101.230263	106.774451	58.121510	27.231134	285.817714	301.616825	292.929913	208.913116	187.410009	192.944205	74.195759	66.248214	45.207312	110.781338	254.085621	240.660720	288.630466	259.694225	185.521213	158.636616	166.509190	175.657354	25.219298	28.610211	293.266330	284.655998	104.089802	119.940042	69.791295	268.204983	170.551918
K06970	21.887086	17.592903	19.086654	17.561049	18.733909	19.409642	18.952127	15.398964	18.376872	18.895007	22.137813	22.961485	19.642560	13.649972	24.473299	18.493594	19.211234	23.795343	30.005012	20.152221	19.590509	21.799002	14.414817	16.699076	21.721003	21.920374	20.066072	19.355759	23.250494	19.104305	18.716156	17.695227	25.188839	25.343677	19.648200	21.377329	19.133262	21.558984	19.393579	19.118931	18.550626	24.332884	27.020662	20.410509	15.782095	16.070059	16.248257	18.501355	19.985230	21.453595
K06971	55.752831	50.494717	57.791645	61.824817	53.425079	68.303857	66.067768	63.507503	65.484778	64.091538	40.392689	47.118811	59.635240	28.426110	68.882491	77.521833	44.316481	15.282989	18.630695	12.747421	41.375560	26.619779	24.007295	70.451179	65.887280	64.919704	45.172816	26.905266	38.245542	31.184764	30.323920	30.276363	33.760662	60.340775	61.066938	60.191316	66.202265	33.727167	34.203220	30.920363	39.169376	31.859151	28.481678	44.008760	38.693209	9.570264	15.529485	31.830412	56.961882	36.154674
K06972	408.686236	429.271277	419.134576	427.478349	409.621953	481.036217	410.476808	436.858646	399.111820	456.784921	313.595981	340.281602	513.523404	115.355462	529.333252	444.378233	420.135536	163.226602	192.124252	145.936238	185.416630	137.077337	106.010429	632.703559	671.039390	646.891066	281.939190	274.834598	268.301074	145.893460	138.227084	138.719078	196.600104	592.847869	541.355105	615.706296	608.510125	279.569361	237.236296	262.297158	312.748789	130.888733	146.994620	603.052886	674.860296	167.606387	186.760898	147.338573	545.603192	252.399378
K06973	222.513997	279.059320	217.899837	242.137054	189.410053	291.445856	242.137458	258.375378	225.243455	247.326695	144.053914	182.118903	300.284527	16.928103	346.963738	296.694402	213.825948	35.456452	37.846090	20.771886	54.302629	29.925494	14.238057	362.211714	399.579894	355.782349	143.802061	104.739475	133.662531	31.395270	30.969819	17.758232	55.134248	369.696032	339.353247	364.778477	392.956399	125.337535	111.692412	98.583680	155.956283	17.449598	22.519780	358.430686	386.900203	63.424668	76.936706	34.098192	337.954546	119.647601
K06974	6.464209	6.798230	12.859919	11.071603	12.732818	8.738324	11.463320	5.686673	11.738045	6.724733	15.693965	9.879399	7.910607	6.553224	2.382816	7.900836	14.749204	18.563947	27.169959	23.765598	11.444256	8.346407	5.548379	6.539071	5.009028	6.130989	13.959561	9.206405	10.130137	6.996157	6.600142	6.559232	7.152199	2.306004	3.336316	3.546833	4.937313	12.683915	11.462361	14.912236	14.101465	5.863535	6.632790	5.450148	3.868457	14.672648	18.654847	8.164385	3.572070	14.639233
K06975	81.740939	91.729859	74.908510	70.677541	63.530675	84.314285	79.383719	88.752348	73.003728	85.286011	62.518316	68.881272	92.946620	18.926973	125.716246	106.874406	52.721068	40.169854	35.085785	16.966521	27.846274	24.260359	12.950771	87.774123	87.812173	103.040941	65.000871	54.921355	68.090493	26.528870	26.795328	24.568215	41.478406	136.006364	125.167452	131.937571	117.082856	57.932670	52.405757	52.863211	77.991875	24.565990	28.120014	104.263510	108.270484	43.095034	45.039535	23.134060	94.511558	55.884688
K06976	9.535305	12.622540	9.779880	9.018363	11.524802	11.058188	9.746811	11.074482	8.232600	10.298788	5.746295	8.721747	11.822808	0.412633	13.669613	6.865660	8.800062	2.748250	1.722501	3.449827	3.021447	1.372290	0.561890	16.999869	12.195846	15.476718	5.195415	8.139234	6.561780	1.623710	1.839730	1.148594	1.638466	9.568285	8.466162	14.789547	12.614557	3.783502	7.509510	3.626370	5.807651	0.670582	1.797718	12.388181	16.171168	2.662716	3.861161	1.173611	12.147204	5.430490
