annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K12901	0.000076	0.000117	0.000000	0.000491	0.000000	0.000310	0.000000	0.000294	0.000126	0.000061	0.000225	0.000000	0.000036	0.001385	0.000040	0.000155	0.000088	0.000283	0.000804	0.001961	0.000751	0.000826	0.002050	0.000000	0.000000	0.000307	0.000395	0.000484	0.000362	0.000961	0.001373	0.000000	0.001907	0.000044	0.000044	0.000085	0.000000	0.000244	0.000867	0.001090	0.000101	0.000000	0.000000	0.000045	0.000000	0.000152	0.000141	0.001096	0.000054	0.000424
K12902	0.004598	0.005722	0.004094	0.003650	0.004247	0.005414	0.005190	0.003554	0.003124	0.002891	0.004436	0.003854	0.005251	0.003293	0.005324	0.003682	0.002800	0.003035	0.001057	0.003123	0.003491	0.001853	0.001947	0.003089	0.004067	0.004078	0.003635	0.003927	0.003395	0.001192	0.002286	0.002869	0.002507	0.004572	0.004632	0.003209	0.004958	0.005837	0.004164	0.001777	0.004250	0.003026	0.002818	0.003083	0.003726	0.003058	0.003077	0.004097	0.004580	0.004812
K12905	0.000678	0.000851	0.001418	0.000992	0.000640	0.000396	0.000687	0.000564	0.000530	0.000495	0.001059	0.001741	0.000695	0.000980	0.000728	0.000203	0.000341	0.000000	0.002562	0.000275	0.000266	0.001171	0.000553	0.000649	0.000641	0.000369	0.000557	0.000959	0.000544	0.000171	0.000506	0.003184	0.000000	0.000305	0.000451	0.000859	0.000675	0.000407	0.000000	0.000239	0.000589	0.000929	0.001151	0.000637	0.000738	0.000265	0.000000	0.000488	0.000435	0.000839
K12912	0.000171	0.000000	0.000243	0.000143	0.000066	0.000083	0.000000	0.000000	0.000142	0.000046	0.000181	0.000000	0.000093	0.000000	0.000035	0.000000	0.000332	0.000640	0.000000	0.002428	0.001133	0.000217	0.000000	0.000070	0.000000	0.000000	0.000479	0.000365	0.000000	0.000181	0.000000	0.000000	0.000167	0.000000	0.000038	0.000032	0.000033	0.000461	0.000451	0.000137	0.000153	0.000000	0.000000	0.000000	0.000000	0.000801	0.000742	0.000000	0.000022	0.000360
K12915	0.000171	0.000201	0.000169	0.000430	0.000480	0.000115	0.000000	0.000000	0.000142	0.000434	0.000251	0.000115	0.000046	0.000443	0.000089	0.000162	0.000283	0.000000	0.004271	0.001226	0.000283	0.001250	0.000000	0.000106	0.000000	0.000000	0.000479	0.000155	0.000156	0.000502	0.000270	0.000000	0.000674	0.000000	0.000000	0.000123	0.000000	0.000414	0.000406	0.000728	0.000502	0.000800	0.000807	0.000000	0.000089	0.001070	0.001261	0.000271	0.000028	0.000566
K12941	0.184708	0.172642	0.176607	0.185647	0.184134	0.187542	0.190155	0.175880	0.187732	0.198354	0.159568	0.174573	0.150845	0.056225	0.188640	0.197948	0.164970	0.139385	0.114279	0.096012	0.102656	0.075764	0.044716	0.186267	0.193881	0.174441	0.156090	0.145328	0.152581	0.088395	0.070076	0.070024	0.118605	0.187291	0.183933	0.184455	0.175872	0.164772	0.167129	0.146171	0.152834	0.054907	0.064381	0.192903	0.196518	0.146704	0.145234	0.101588	0.181040	0.158816
K12942	0.030233	0.021873	0.032592	0.032444	0.031989	0.029638	0.034653	0.033547	0.042116	0.040334	0.029622	0.033889	0.022719	0.022333	0.025421	0.035137	0.028812	0.030147	0.044383	0.039853	0.046634	0.034185	0.022328	0.030852	0.026294	0.034387	0.034967	0.046792	0.033738	0.043975	0.034623	0.037313	0.044666	0.025106	0.026377	0.026073	0.022740	0.040733	0.044995	0.038991	0.032621	0.020253	0.013568	0.035282	0.040247	0.039935	0.037463	0.050250	0.034363	0.039135
K12943	0.000104	0.000331	0.000000	0.000419	0.000456	0.000217	0.000000	0.000158	0.000686	0.000000	0.000000	0.000133	0.000360	0.000000	0.000437	0.000419	0.000124	0.000000	0.000000	0.000550	0.000353	0.000364	0.000000	0.000565	0.000510	0.000320	0.000149	0.000813	0.000194	0.000338	0.000793	0.000701	0.000302	0.000281	0.000248	0.000114	0.000232	0.000172	0.001465	0.000230	0.000397	0.000969	0.001115	0.000134	0.000110	0.000406	0.000376	0.000779	0.000216	0.000588
K12944	0.000000	0.000159	0.000000	0.000000	0.000000	0.000000	0.000120	0.000000	0.000000	0.000000	0.000000	0.000111	0.000000	0.000000	0.000110	0.000000	0.000225	0.000000	0.002056	0.000000	0.000320	0.000000	0.000000	0.000060	0.000000	0.000065	0.000270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000163	0.000000	0.000156	0.000153	0.000000	0.000129	0.000000	0.000000	0.000000	0.000200	0.000775	0.000000	0.000000	0.000037	0.000381
K12949	0.000077	0.000196	0.000356	0.000205	0.000372	0.000304	0.000207	0.000266	0.000129	0.000000	0.000123	0.000112	0.000045	0.001020	0.000051	0.000000	0.000277	0.001180	0.000000	0.000444	0.000276	0.000000	0.000465	0.000103	0.000000	0.000056	0.000117	0.000000	0.000000	0.000000	0.000311	0.001767	0.000244	0.000097	0.000055	0.000141	0.000049	0.000135	0.000132	0.000201	0.000112	0.000000	0.000000	0.000000	0.000000	0.000490	0.000719	0.000468	0.000222	0.000517
