annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG4837	12.057828	16.098535	10.490427	12.357883	15.655932	13.146478	15.023169	14.220385	13.472276	13.408544	19.304235	19.768240	16.734447	53.588821	19.426803	12.790308	13.958380	10.802761	14.545324	10.540033	34.761810	39.860432	65.194355	13.175743	14.331254	17.202111	13.430745	13.027265	15.906109	41.747241	34.372572	44.086316	27.436539	21.619450	20.939473	19.240907	15.148223	15.927185	11.986577	14.146941	13.935842	31.067889	27.286915	16.800740	13.485172	11.330905	15.353420	41.324740	15.530719	14.779771
COG4838	1.988866	1.444587	1.225073	3.293686	2.809063	2.172912	4.210243	2.415614	4.958103	3.220969	4.262185	1.960976	1.200708	5.803236	2.468229	1.527771	4.191381	1.792718	3.912991	2.278483	6.213789	6.654714	6.327937	1.318168	2.010414	1.078022	2.460971	1.133586	1.913908	6.756144	7.219558	7.030277	4.560553	1.488447	1.608336	1.689307	0.942445	4.315302	3.751266	3.582317	2.277004	7.192296	7.666058	1.207917	1.203819	4.021496	3.654689	5.286298	1.427336	3.116857
COG4839	48.386966	61.543493	53.648869	49.752479	43.454640	57.601930	47.487588	50.831311	45.082645	47.591703	50.261720	50.501024	61.505783	75.746916	71.638054	56.632809	48.285222	38.156568	45.918332	33.051527	54.281999	53.076356	44.673513	51.107606	60.462589	62.371988	45.156622	40.325488	49.483707	48.562007	51.738052	41.069705	41.564479	66.880437	66.990832	75.752083	62.693727	48.964678	53.686369	43.573660	57.909853	46.426211	43.182684	52.355851	57.504243	29.289848	32.991715	46.334511	65.777242	49.984599
COG4840	6.186624	4.955293	7.373544	7.293439	8.624242	5.352557	5.096645	4.251458	3.547158	4.296632	3.753703	6.440538	5.922263	3.358422	8.534732	7.505500	5.074211	5.474850	0.746103	3.699583	4.751678	7.098161	6.786102	6.220831	5.979454	7.222094	5.513431	4.308601	2.969604	6.369171	7.485713	9.078887	5.568695	4.880422	11.541159	7.639588	9.071734	4.968694	6.353382	6.311441	5.704645	4.779307	4.086371	4.099174	3.267313	6.124409	5.419520	6.774816	6.828233	6.732019
COG4841	7.485319	11.548234	8.564035	9.498672	12.389457	8.938515	7.543738	8.782193	9.084240	12.186966	9.963826	10.792825	14.359285	20.018804	10.710463	8.871815	7.977628	7.807686	8.783504	4.592904	18.001893	26.693567	22.701585	9.403983	10.173772	13.312488	10.135896	10.698549	9.943864	27.458366	24.662941	22.391552	18.879314	11.855199	7.567853	7.516968	10.124784	5.494454	10.668814	9.208126	7.621303	22.834780	23.702378	7.626188	10.509596	5.631850	9.269591	22.384491	8.013086	9.228425
COG4842	18.209889	20.887347	21.553190	20.263580	15.175548	17.499869	12.749192	21.239700	21.750977	22.564758	19.770149	16.301751	18.943241	36.536882	32.210853	27.022692	16.251464	14.401883	11.287217	13.526547	19.416955	28.803151	43.720791	18.039432	18.682623	19.916775	18.262153	26.489826	20.224140	25.329677	23.237677	26.929363	19.324739	19.201245	21.083357	22.968356	23.968864	16.952373	17.709588	19.592416	14.382108	26.299337	18.413983	11.587389	13.030710	9.101367	12.053760	23.798629	18.404224	13.962122
COG4843	11.291307	11.480187	12.232879	11.679705	6.099284	14.900177	14.452443	13.113513	12.030621	9.194367	8.338690	8.073683	11.171611	8.060939	15.707452	6.343967	7.010357	3.591870	2.490164	1.712700	11.248897	6.533193	6.663912	13.341952	12.255578	11.596380	7.786203	4.875042	6.745266	9.131738	6.145716	5.286238	7.070328	14.056579	14.133825	17.033506	13.296612	6.185602	4.657094	5.794198	7.796017	7.958221	4.871696	6.036563	4.196294	2.723199	2.761275	8.426498	12.179620	5.632942
COG4844	2.552659	2.731475	5.771509	5.284009	4.113914	4.184960	5.645116	2.979389	2.326984	4.424581	9.757314	12.117467	2.861317	28.168550	5.217249	5.435112	6.270619	3.106566	3.133402	3.869235	17.485113	35.514599	54.985214	2.871836	2.751544	3.934093	5.742574	6.129624	4.975588	32.392660	37.338648	35.360221	18.264798	3.106195	1.462254	1.408528	2.816003	3.259209	3.953476	6.938662	4.875781	33.597030	32.716671	1.510364	3.478271	4.328971	5.539148	35.472848	1.387019	5.803321
COG4845	19.224940	13.974647	14.733708	16.377687	17.832425	18.555600	15.106618	18.600633	13.255981	17.031298	10.310193	13.652398	19.318893	24.310010	17.165512	16.852039	14.809752	17.804633	17.006068	10.469938	19.856400	20.290438	25.521207	18.443453	21.029233	16.345988	15.748486	13.061330	18.589434	15.452804	18.607074	18.837946	21.991379	13.604478	20.720153	19.449060	21.406589	16.004809	15.686262	18.142273	18.948027	22.880520	22.162910	18.213552	17.338855	13.390466	15.954531	15.736432	18.008114	15.756813
COG4846	1.939130	2.067405	2.212226	2.040987	1.642287	2.193443	1.977631	2.024827	1.933601	2.084347	3.710066	2.870149	2.028359	2.907195	0.575883	1.753580	3.656662	15.028419	15.122986	10.362679	3.517390	2.746619	5.992522	2.274216	0.982376	0.662699	9.532236	6.503679	9.363330	2.068941	4.448970	2.180554	5.396508	1.853908	1.786233	1.923462	1.249599	5.035593	6.433319	6.226755	6.524747	2.799242	1.594920	1.611963	0.631585	4.071952	2.648820	3.801820	0.633763	9.244823
